,0,1,2,3,4
11,11,August,BORUTO: NARUTO THE MOVIE,2.62,TOHO
12,12,July,Pokémon the Movie: Hoopa and the Clash of Ages / Pokémon: Pikachu and the Pokémon Music Squad,2.61,TOHO
13,13,September,NO LONGER HEROINE,2.43,ＷＢ
14,14,September,UNFAIR the end,2.36,TOHO
15,15,March,STROBE EDGE,2.32,TOHO
16,16,April,Crayon Shin-chan: Ora no hikkosi monogatari ~saboten daishugeki~,2.29,TOHO
17,17,Nov.2014,PARASYTE,2.02,TOHO
18,18,Dec.2014,THE LAST -NARURO THE MOVIE-,2.00,TOHO
19,19,Dec.2014,BLUE SPRING RIDE,1.90,TOHO
20,20,October,LIBRARY WARS: THE LAST MISSION,1.80,TOHO
21,21,October,BAKUMAN,1.76,TOHO
22,22,June,Our Little Sister,1.68,TOHO/GAGA
23,22,September,ATTACK ON TITAN Part 2,1.68,TOHO
24,24,April,RYUZO AND HIS SEVEN HENCHMEN,1.60,WB/OFFICE KITANO
25,25,April,PARASYTE Part 2,1.50,TOHO
26,26,Dec.2014,The Vancouver Asahi,1.42,TOHO
27,27,May,SHINJUKU SWAN,1.33,SPE
28,28,May,Initiation Love,1.32,TOHO
29,28,August,The Emperor in August,1.32,ASMIC ACE  /SHOCHIKU
30,28,October,GALAXY TURNPIKE,1.32,TOHO
31,31,June,PROPHECY,1.31,TOHO
32,31,Nov.2014,MOZU,1.31,TOHO
33,33,February,TERRACE HOUSE -Closing Door-,1.30,TOHO
34,34,March,The Lion Standing in the Wind,1.17,TOHO
35,35,September,The Anthem of the Heart,1.12,ANIPLEX
36,36,September,The Big Bee,1.08,SHOCHIKU
37,37,January,ST: The Movie,1.06,TOHO
38,38,Nov.2014,Grasshopper,1.00,SHOCHIKU/  KADOKAWA
39,38,Nov.2014,GIRLS und PANZER The Movie,1.00,SHOWGATE
0,Ranking,Release  Month,Film Title,Gross (estimated)  (in billion Yen),Distributor
1,1,August,your name.,23.56,TOHO
2,2,July,SHIN GODZILLA,8.25,TOHO
3,3,April,DETECTIVE CONAN: The Darkest Nightmare,6.33,TOHO
4,4,Dec.2015,YO-KAI WATCH 2: Five Tales from Beyond... Meow!,5.53,TOHO
5,5,July,ONE PIECE FILM GOLD,5.18,TOEI
6,6,January,NOBUNAGA CONCERTO,4.61,TOHO
7,7,March,Doraemon the Movie: Nobita and the Birth of Japan 2016,4.12,TOHO
8,8,March,ASSASSINATION CLASSROOM -Graduation-,3.52,TOHO
9,9,Dec.2015,Orange,3.25,TOHO
10,10,September,A Silent Voice,2.30,SHOCHIKU
11,11,June,EVERGREEN LOVE,2.20,SHOCHIKU
12,11,October,DEATH NOTE Light up the NEW world,2.20,WB
13,13,July,Pokémon the Movie: Volcanion and the Mechanical Marvel,2.15,TOHO
14,14,April,Crayon Shinchan the Movie: Fast Asleep! The Great Assault on the Dreaming,2.11,TOHO
15,14,July,HiGH & LOW THE MOVIE,2.11,SHOCHIKU
16,16,Dec.2015,NAGASAKI: MEMORIES OF MY SON,1.98,SHOCHIKU
17,17,May,SIX FOUR: Part 1,1.94,TOHO
18,18,June,SIX FOUR: Part 2,1.74,TOHO
19,19,March,CHIHAYAFURU Part.1,1.63,TOHO
20,20,April,I AM A HERO,1.62,TOHO
21,21,January,DANGEROUS COPS: Final 5 Days,1.61,TOEI
22,21,September,Rage,1.61,TOHO
23,23,November,In This Corner of the World,1.57,TOKYO THEATRES
24,24,August,BLACK WIDOW BUSINESS,1.52,TOHO
25,25,June,TOO YOUNG TO DIE�I,1.51,TOHO/ASMIC ACE
26,26,November,MUSEUM,1.50,WB
27,27,August,Rudolf the Black Cat,1.46,TOHO
28,28,September,Your Lie in April,1.42,TOHO
29,29,March,Erased,1.40,WB
30,30,March,Kazoku wa tsuraiyo,1.38,SHOCHIKU
